#Deleted in new
chr4	86033	86034	86034
#Deleted in new
chr19	11541684	11541685	11541685
#Deleted in new
chr21	46021933	46021934	46021934
#Deleted in new
chr19	55019401	55019402	55019402
#Deleted in new
chr17	36734705	36734706	36734706
#Deleted in new
chr7	100612951	100612952	100612952
#Deleted in new
chr7	100608867	100608868	100608868
#Deleted in new
chr14	22447247	22447248	22447248
#Deleted in new
chr7	100612944	100612945	100612945
#Deleted in new
chr7	100608825	100608826	100608826
#Deleted in new
chr17	26699204	26699205	26699205
#Deleted in new
chr7	100612954	100612955	100612955
#Deleted in new
chr10	5202059	5202060	5202060
#Deleted in new
chr9	136135194	136135195	136135195
#Deleted in new
chr1	147096793	147096794	147096794
#Deleted in new
chr1	145558564	145558565	145558565
#Deleted in new
chr21	45989114	45989115	45989115
#Deleted in new
chr19	55209756	55209757	55209757
#Deleted in new
chr14	106974743	106974744	106974744
#Deleted in new
chr7	100607850	100607851	100607851
#Deleted in new
chr17	26684393	26684394	26684394
#Deleted in new
chr1	206776202	206776203	206776203
#Deleted in new
chr14	22972843	22972844	22972844
#Deleted in new
chr17	48227402	48227403	48227403
#Deleted in new
chr11	1159149	1159150	1159150
#Deleted in new
chr20	36989301	36989302	36989302
#Deleted in new
chr19	42315280	42315281	42315281
#Deleted in new
chr7	100608415	100608416	100608416
#Deleted in new
chr7	142428610	142428611	142428611
#Deleted in new
chr7	100608911	100608912	100608912
#Deleted in new
chr8	2054194	2054195	2054195
#Deleted in new
chr19	42267669	42267670	42267670
#Deleted in new
chr14	106318449	106318450	106318450
#Deleted in new
chr19	54759109	54759110	54759110
#Deleted in new
chr7	141942744	141942745	141942745
#Deleted in new
chr14	106361563	106361564	106361564
#Deleted in new
chr14	22392249	22392250	22392250
#Deleted in new
chr19	42265888	42265889	42265889
#Deleted in new
chr14	106788826	106788827	106788827
#Deleted in new
chr7	100612874	100612875	100612875
#Deleted in new
chr14	23020824	23020825	23020825
#Deleted in new
chr12	11338780	11338781	11338781
#Deleted in new
chr8	143746049	143746050	143746050
#Deleted in new
chr19	55209662	55209663	55209663
#Deleted in new
chr7	100612841	100612842	100612842
#Deleted in new
chr9	136133505	136133506	136133506
#Deleted in new
chr22	22869537	22869538	22869538
#Deleted in new
chr19	54759101	54759102	54759102
#Deleted in new
chr3	195245804	195245805	195245805
#Deleted in new
chr21	46021369	46021370	46021370
#Deleted in new
chr14	23020920	23020921	23020921
#Deleted in new
chr7	142250987	142250988	142250988
#Deleted in new
chr7	101915497	101915498	101915498
#Deleted in new
chr9	136268083	136268084	136268084
#Deleted in new
chr7	100608410	100608411	100608411
#Deleted in new
chr7	100608883	100608884	100608884
#Deleted in new
chr7	100607972	100607973	100607973
#Deleted in new
chr14	106993756	106993757	106993757
#Deleted in new
chr14	106668097	106668098	106668098
#Deleted in new
chr21	46021945	46021946	46021946
#Deleted in new
chr12	22063736	22063737	22063737
#Deleted in new
chrX	52818708	52818709	52818709
#Deleted in new
chr12	11338612	11338613	11338613
#Deleted in new
chr14	106330369	106330370	106330370
#Deleted in new
chr9	136135236	136135237	136135237
#Deleted in new
chr7	72738748	72738749	72738749
#Deleted in new
chr19	42027499	42027500	42027500
#Deleted in new
chr1	144615245	144615246	144615246
#Deleted in new
chr10	17891704	17891705	17891705
#Deleted in new
chr8	2112129	2112130	2112130
#Deleted in new
chrX	152228522	152228523	152228523
#Deleted in new
chr14	106330125	106330126	106330126
#Deleted in new
chr7	100612838	100612839	100612839
#Deleted in new
chr14	22634694	22634695	22634695
#Deleted in new
chr14	22102373	22102374	22102374
#Deleted in new
chr14	106974664	106974665	106974665
#Deleted in new
chr7	100612868	100612869	100612869
#Deleted in new
chr14	106974827	106974828	106974828
#Deleted in new
chr19	54872593	54872594	54872594
#Deleted in new
chr7	100610068	100610069	100610069
#Deleted in new
chr14	22690208	22690209	22690209
#Deleted in new
chr14	106361560	106361561	106361561
#Deleted in new
chr22	22869217	22869218	22869218
#Deleted in new
chr7	100612960	100612961	100612961
#Deleted in new
chr4	87276	87277	87277
#Deleted in new
chr7	100613026	100613027	100613027
#Deleted in new
chr12	7080211	7080212	7080212
#Deleted in new
chr7	100609485	100609486	100609486
#Deleted in new
chr19	42265865	42265866	42265866
#Deleted in new
chr17	35818739	35818740	35818740
#Deleted in new
chr1	13052870	13052871	13052871
#Deleted in new
chr11	118529077	118529078	118529078
#Deleted in new
chr7	100608777	100608778	100608778
#Deleted in new
chr1	145116317	145116318	145116318
#Deleted in new
chr21	46021953	46021954	46021954
#Deleted in new
chr7	100608928	100608929	100608929
#Deleted in new
chr22	22869208	22869209	22869209
#Deleted in new
chr7	100612968	100612969	100612969
#Deleted in new
chr7	100607699	100607700	100607700
#Deleted in new
chr11	124096246	124096247	124096247
#Deleted in new
chrX	53652851	53652852	53652852
#Deleted in new
chr19	54872402	54872403	54872403
#Deleted in new
chr21	45514187	45514188	45514188
#Deleted in new
chr22	22869544	22869545	22869545
#Deleted in new
chr8	145625537	145625538	145625538
#Deleted in new
chrX	152228547	152228548	152228548
#Deleted in new
chr11	112832357	112832358	112832358
#Deleted in new
chr11	1077492	1077493	1077493
#Deleted in new
chr1	145442253	145442254	145442254
#Deleted in new
chr19	40408909	40408910	40408910
#Deleted in new
chr7	141942759	141942760	141942760
#Deleted in new
chr22	20780090	20780091	20780091
#Deleted in new
chr8	2048810	2048811	2048811
#Deleted in new
chr4	86041	86042	86042
#Deleted in new
chr7	100607870	100607871	100607871
#Deleted in new
chr14	23020918	23020919	23020919
#Deleted in new
chrX	49767834	49767835	49767835
#Deleted in new
chr1	12898444	12898445	12898445
#Deleted in new
chr7	100612864	100612865	100612865
#Deleted in new
chr20	5948711	5948712	5948712
#Deleted in new
chr14	106318439	106318440	106318440
#Deleted in new
chr17	7417085	7417086	7417086
#Deleted in new
chr10	47087500	47087501	47087501
#Deleted in new
chr7	100608709	100608710	100608710
#Deleted in new
chr17	26708301	26708302	26708302
#Deleted in new
chr7	72738761	72738762	72738762
#Deleted in new
chr19	8808941	8808942	8808942
#Deleted in new
chr22	22869547	22869548	22869548
#Deleted in new
chr1	223718669	223718670	223718670
#Deleted in new
chr4	86039	86040	86040
#Deleted in new
chr9	136133530	136133531	136133531
#Deleted in new
chr21	46021389	46021390	46021390
#Deleted in new
chr7	100371475	100371476	100371476
#Deleted in new
chr7	100608418	100608419	100608419
#Deleted in new
chr12	22063748	22063749	22063749
#Deleted in new
chr7	100613017	100613018	100613018
#Deleted in new
chr7	142028107	142028108	142028108
#Deleted in new
